XML File 1,XML File 2,Status,Mutated Class,Mutated Method,Line Number,Mutator,Description,Unique Killing Tests 1,Unique Killing Tests 2,Unique Succeeding Tests 1,Unique Succeeding Tests 2,Flaky Tests
mutations1.xml,mutations10.xml,KILLED,fr.xephi.authme.data.auth.PlayerAuth,getPassword,149,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,replaced return value with null for fr/xephi/authme/data/auth/PlayerAuth::getPassword,,,,"fr.xephi.authme.datasource.MySqlResourceClosingTest.shouldCloseResources[updatePassword](fr.xephi.authme.datasource.MySqlResourceClosingTest), fr.xephi.authme.datasource.PostgreSqlResourceClosingTest.shouldCloseResources[updatePassword](fr.xephi.authme.datasource.PostgreSqlResourceClosingTest), fr.xephi.authme.datasource.SQLiteResourceClosingTest.shouldCloseResources[updatePassword](fr.xephi.authme.datasource.SQLiteResourceClosingTest)"
mutations1.xml,mutations10.xml,KILLED,fr.xephi.authme.util.expiring.ExpiringMap,<init>,37,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,removed call to fr/xephi/authme/util/expiring/ExpiringMap::setExpiration,"fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest.shouldGenerateAndRetrieveCode(fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest), fr.xephi.authme.util.expiring.ExpiringMapTest.shouldReturnIfIsEmpty(fr.xephi.authme.util.expiring.ExpiringMapTest)",fr.xephi.authme.data.TempbanManagerTest.shouldIncreaseAndResetCount(fr.xephi.authme.data.TempbanManagerTest),fr.xephi.authme.data.TempbanManagerTest.shouldIncreaseAndResetCount(fr.xephi.authme.data.TempbanManagerTest),"fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest.shouldGenerateAndRetrieveCode(fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest), fr.xephi.authme.util.expiring.ExpiringMapTest.shouldReturnIfIsEmpty(fr.xephi.authme.util.expiring.ExpiringMapTest)"
mutations1.xml,mutations10.xml,KILLED,fr.xephi.authme.output.LogLevel,includes,36,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,replaced boolean return with true for fr/xephi/authme/output/LogLevel::includes,,"fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportBackToPlayerAuthLocation(fr.xephi.authme.service.TeleportationServiceTest), fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportWithLimboPlayerIfSaveQuitLocIsDisabled(fr.xephi.authme.service.TeleportationServiceTest), fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportAccordingToPlayerAuthAndPlayerWorldAsFallback(fr.xephi.authme.service.TeleportationServiceTest), fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportWithLimboPlayerIfAuthYCoordIsNotSet(fr.xephi.authme.service.TeleportationServiceTest)","fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportWithLimboPlayerIfSaveQuitLocIsDisabled(fr.xephi.authme.service.TeleportationServiceTest), fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportAccordingToPlayerAuthAndPlayerWorldAsFallback(fr.xephi.authme.service.TeleportationServiceTest), fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportBackToPlayerAuthLocation(fr.xephi.authme.service.TeleportationServiceTest), fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportWithLimboPlayerIfAuthYCoordIsNotSet(fr.xephi.authme.service.TeleportationServiceTest)",
mutations1.xml,mutations2.xml,KILLED,fr.xephi.authme.util.expiring.ExpiringMap,<init>,37,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,removed call to fr/xephi/authme/util/expiring/ExpiringMap::setExpiration,"fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest.shouldVerifyCodeSuccessfully(fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest), fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest.shouldGenerateAndRetrieveCode(fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest), fr.xephi.authme.util.expiring.ExpiringMapTest.shouldReturnIfIsEmpty(fr.xephi.authme.util.expiring.ExpiringMapTest)","fr.xephi.authme.util.expiring.ExpiringMapTest.shouldRemoveEntry(fr.xephi.authme.util.expiring.ExpiringMapTest), fr.xephi.authme.data.TempbanManagerTest.shouldIncreaseAndResetCount(fr.xephi.authme.data.TempbanManagerTest)","fr.xephi.authme.util.expiring.ExpiringMapTest.shouldRemoveEntry(fr.xephi.authme.util.expiring.ExpiringMapTest), fr.xephi.authme.data.TempbanManagerTest.shouldIncreaseAndResetCount(fr.xephi.authme.data.TempbanManagerTest)","fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest.shouldVerifyCodeSuccessfully(fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest), fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest.shouldGenerateAndRetrieveCode(fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest), fr.xephi.authme.util.expiring.ExpiringMapTest.shouldReturnIfIsEmpty(fr.xephi.authme.util.expiring.ExpiringMapTest)"
mutations1.xml,mutations2.xml,KILLED,fr.xephi.authme.output.LogLevel,includes,36,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,replaced boolean return with true for fr/xephi/authme/output/LogLevel::includes,,"fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportWithLimboPlayerIfSaveQuitLocIsDisabled(fr.xephi.authme.service.TeleportationServiceTest), fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportWithLimboPlayerIfAuthYCoordIsNotSet(fr.xephi.authme.service.TeleportationServiceTest)","fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportWithLimboPlayerIfSaveQuitLocIsDisabled(fr.xephi.authme.service.TeleportationServiceTest), fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportWithLimboPlayerIfAuthYCoordIsNotSet(fr.xephi.authme.service.TeleportationServiceTest)",
mutations1.xml,mutations3.xml,KILLED,fr.xephi.authme.util.expiring.ExpiringMap,<init>,37,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,removed call to fr/xephi/authme/util/expiring/ExpiringMap::setExpiration,"fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest.shouldVerifyCodeSuccessfully(fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest), fr.xephi.authme.util.expiring.ExpiringMapTest.shouldReturnIfIsEmpty(fr.xephi.authme.util.expiring.ExpiringMapTest)",fr.xephi.authme.security.totp.GenerateTotpServiceTest.shouldGenerateTotpKey(fr.xephi.authme.security.totp.GenerateTotpServiceTest),fr.xephi.authme.security.totp.GenerateTotpServiceTest.shouldGenerateTotpKey(fr.xephi.authme.security.totp.GenerateTotpServiceTest),"fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest.shouldVerifyCodeSuccessfully(fr.xephi.authme.data.captcha.RegistrationCaptchaManagerTest), fr.xephi.authme.util.expiring.ExpiringMapTest.shouldReturnIfIsEmpty(fr.xephi.authme.util.expiring.ExpiringMapTest)"
mutations1.xml,mutations3.xml,KILLED,fr.xephi.authme.output.LogLevel,includes,36,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,replaced boolean return with true for fr/xephi/authme/output/LogLevel::includes,"fr.xephi.authme.data.limbo.WalkFlySpeedRestoreTypeTest.shouldRestoreToExpectedValue[RESTORE {0.1, 0.4}](fr.xephi.authme.data.limbo.WalkFlySpeedRestoreTypeTest), fr.xephi.authme.data.limbo.WalkFlySpeedRestoreTypeTest.shouldRestoreToExpectedValue[RESTORE {0.9, 0.2}](fr.xephi.authme.data.limbo.WalkFlySpeedRestoreTypeTest)",fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportWithLimboPlayerIfSaveQuitLocIsDisabled(fr.xephi.authme.service.TeleportationServiceTest),fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportWithLimboPlayerIfSaveQuitLocIsDisabled(fr.xephi.authme.service.TeleportationServiceTest),"fr.xephi.authme.data.limbo.WalkFlySpeedRestoreTypeTest.shouldRestoreToExpectedValue[RESTORE {0.1, 0.4}](fr.xephi.authme.data.limbo.WalkFlySpeedRestoreTypeTest), fr.xephi.authme.data.limbo.WalkFlySpeedRestoreTypeTest.shouldRestoreToExpectedValue[RESTORE {0.9, 0.2}](fr.xephi.authme.data.limbo.WalkFlySpeedRestoreTypeTest)"
mutations1.xml,mutations4.xml,KILLED,fr.xephi.authme.data.auth.PlayerAuth,getPassword,149,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,replaced return value with null for fr/xephi/authme/data/auth/PlayerAuth::getPassword,,,,"fr.xephi.authme.datasource.MySqlResourceClosingTest.shouldCloseResources[updatePassword](fr.xephi.authme.datasource.MySqlResourceClosingTest), fr.xephi.authme.datasource.PostgreSqlResourceClosingTest.shouldCloseResources[updatePassword](fr.xephi.authme.datasource.PostgreSqlResourceClosingTest), fr.xephi.authme.datasource.SQLiteResourceClosingTest.shouldCloseResources[updatePassword](fr.xephi.authme.datasource.SQLiteResourceClosingTest)"
mutations1.xml,mutations4.xml,KILLED,fr.xephi.authme.util.expiring.ExpiringMap,<init>,37,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,removed call to fr/xephi/authme/util/expiring/ExpiringMap::setExpiration,fr.xephi.authme.util.expiring.ExpiringMapTest.shouldReturnIfIsEmpty(fr.xephi.authme.util.expiring.ExpiringMapTest),"fr.xephi.authme.util.expiring.ExpiringMapTest.shouldAddAndRetrieveEntries(fr.xephi.authme.util.expiring.ExpiringMapTest), fr.xephi.authme.data.TempbanManagerTest.shouldIncreaseAndResetCount(fr.xephi.authme.data.TempbanManagerTest)","fr.xephi.authme.util.expiring.ExpiringMapTest.shouldAddAndRetrieveEntries(fr.xephi.authme.util.expiring.ExpiringMapTest), fr.xephi.authme.data.TempbanManagerTest.shouldIncreaseAndResetCount(fr.xephi.authme.data.TempbanManagerTest)",fr.xephi.authme.util.expiring.ExpiringMapTest.shouldReturnIfIsEmpty(fr.xephi.authme.util.expiring.ExpiringMapTest)
mutations1.xml,mutations4.xml,KILLED,fr.xephi.authme.output.LogLevel,includes,36,org.pitest.mutationtest.engine.gregor.mutators.returns.BooleanTrueReturnValsMutator,replaced boolean return with true for fr/xephi/authme/output/LogLevel::includes,"fr.xephi.authme.service.TeleportationServiceTest.shouldNotTeleportPlayerForCanceledEvent(fr.xephi.authme.service.TeleportationServiceTest), fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportPlayerToSpawnAfterLogin(fr.xephi.authme.service.TeleportationServiceTest)",fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportWithLimboPlayerIfSaveQuitLocIsDisabled(fr.xephi.authme.service.TeleportationServiceTest),fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportWithLimboPlayerIfSaveQuitLocIsDisabled(fr.xephi.authme.service.TeleportationServiceTest),"fr.xephi.authme.service.TeleportationServiceTest.shouldNotTeleportPlayerForCanceledEvent(fr.xephi.authme.service.TeleportationServiceTest), fr.xephi.authme.service.TeleportationServiceTest.shouldTeleportPlayerToSpawnAfterLogin(fr.xephi.authme.service.TeleportationServiceTest)"
