Repository,Build_Status
Activiti,Failure
AuthMeReloaded,Success
BroadleafCommerce,Failure
Jprotobuf-rpc-socket,Failure
Mapper,Failure
Sentinel,Failure
adyen-java-api-library,Failure
aem-core-wcm-components,Failure
alibabacloud-tairjedis-sdk,Failure
alien4cloud,Failure
alluxio,Failure
altus-sdk-java,Failure
amazon-hub-counter-sdk-java,Failure
amazon-instant-access-sdk-java,Failure
amazon-pay-api-sdk-java,Failure
apollo,Failure
arangodb-tinkerpop-provider,Failure
archiva,Failure
aries-cdi,Success
asset-share-commons,Failure
asyncload,Failure
atlas,Failure
avro,Failure
aws-dynamodb-encryption-java,Failure
biojava,Failure
bookkeeper,Failure
braintree_java,Failure
c2mon,Failure
camel,Failure
camel-spring-boot,Failure
captivate-prime-aem-components,Failure
castle-java,Failure
cayenne,Success
checkstyle,Failure
classgraph,Failure
cloud-slang,Failure
cloudstack,Failure
common-kafka,Failure
commons-collections,Success
commons-lang,Success
commons-math,Success
cxf,Failure
directory-scimple,Failure
dolphinscheduler,Failure
druid,Failure
dubbo,Failure
dubbo-admin,Failure
easy-retry,Failure
easyexcel,Success
edn-java,Success
excelastic,Failure
fastjson,Failure
flink,Failure
geronimo-batchee,Failure
hadoop,Failure
hbase,Failure
helix,Failure
hive,Failure
hudi,Failure
ignite-3,Failure
incubator-hugegraph-toolchain,Failure
incubator-streampipes,Failure
incubator-wayang,Failure
innodb-java-reader,Failure
iotdb,Failure
